101: Agent spawned at x: 20 y:30
101: Agent moved to x: 21 y:30
101: Agent's goal is x: 30 y:30
102: Agent moved to x: 22 y:30
102: Agent's goal is x: 30 y:30
103: Agent moved to x: 23 y:30
103: Agent's goal is x: 30 y:30
104: Agent moved to x: 24 y:30
104: Agent's goal is x: 30 y:30
105: Agent moved to x: 25 y:30
105: Agent's goal is x: 30 y:30
106: Agent moved to x: 26 y:30
106: Agent's goal is x: 30 y:30
107: Agent moved to x: 27 y:30
107: Agent's goal is x: 30 y:30
108: Agent moved to x: 28 y:30
108: Agent's goal is x: 30 y:30
109: Agent moved to x: 29 y:30
109: Agent's goal is x: 30 y:30
110: Agent moved to x: 30 y:30
110: Agent's goal is x: 30 y:30
111: Agent synchronized with x: 30 y:30
111: Agent changed target neighbour to x: 20 y:30
111: Agent moved to x: 29 y:30
111: Agent's goal is x: 20 y:30
112: Agent moved to x: 28 y:30
112: Agent's goal is x: 20 y:30
113: Agent moved to x: 27 y:30
113: Agent's goal is x: 20 y:30
114: Agent moved to x: 26 y:30
114: Agent's goal is x: 20 y:30
115: Agent moved to x: 25 y:30
115: Agent's goal is x: 20 y:30
116: Agent moved to x: 24 y:30
116: Agent's goal is x: 20 y:30
117: Agent moved to x: 23 y:30
117: Agent's goal is x: 20 y:30
118: Agent moved to x: 22 y:30
118: Agent's goal is x: 20 y:30
119: Agent moved to x: 21 y:30
119: Agent's goal is x: 20 y:30
120: Agent moved to x: 20 y:30
120: Agent's goal is x: 20 y:30
121: Agent synchronized with x: 20 y:30
121: Agent changed target neighbour to x: 20 y:20
121: Agent moved to x: 20 y:29
121: Agent's goal is x: 20 y:20
122: Agent moved to x: 20 y:28
122: Agent's goal is x: 20 y:20
123: Agent moved to x: 20 y:27
123: Agent's goal is x: 20 y:20
124: Agent moved to x: 20 y:26
124: Agent's goal is x: 20 y:20
125: Agent moved to x: 20 y:25
125: Agent's goal is x: 20 y:20
126: Agent moved to x: 20 y:24
126: Agent's goal is x: 20 y:20
127: Agent moved to x: 20 y:23
127: Agent's goal is x: 20 y:20
128: Agent moved to x: 20 y:22
128: Agent's goal is x: 20 y:20
129: Agent moved to x: 20 y:21
129: Agent's goal is x: 20 y:20
130: Agent moved to x: 20 y:20
130: Agent's goal is x: 20 y:20
131: Agent synchronized with x: 20 y:20
131: Agent changed target neighbour to x: 20 y:10
131: Agent moved to x: 20 y:19
131: Agent's goal is x: 20 y:10
132: Agent moved to x: 20 y:18
132: Agent's goal is x: 20 y:10
133: Agent moved to x: 20 y:17
133: Agent's goal is x: 20 y:10
134: Agent moved to x: 20 y:16
134: Agent's goal is x: 20 y:10
135: Agent moved to x: 20 y:15
135: Agent's goal is x: 20 y:10
136: Agent moved to x: 20 y:14
136: Agent's goal is x: 20 y:10
137: Agent moved to x: 20 y:13
137: Agent's goal is x: 20 y:10
138: Agent moved to x: 20 y:12
138: Agent's goal is x: 20 y:10
139: Agent moved to x: 20 y:11
139: Agent's goal is x: 20 y:10
140: Agent moved to x: 20 y:10
140: Agent's goal is x: 20 y:10
141: Agent synchronized with x: 20 y:10
141: Agent changed target neighbour to x: 10 y:20
141: Agent moved to x: 20 y:11
141: Agent's goal is x: 10 y:20
142: Agent moved to x: 19 y:11
142: Agent's goal is x: 10 y:20
143: Agent moved to x: 19 y:12
143: Agent's goal is x: 10 y:20
144: Agent moved to x: 18 y:12
144: Agent's goal is x: 10 y:20
145: Agent moved to x: 18 y:13
145: Agent's goal is x: 10 y:20
146: Agent moved to x: 17 y:13
146: Agent's goal is x: 10 y:20
147: Agent moved to x: 17 y:14
147: Agent's goal is x: 10 y:20
148: Agent moved to x: 16 y:14
148: Agent's goal is x: 10 y:20
149: Agent moved to x: 16 y:15
149: Agent's goal is x: 10 y:20
150: Agent moved to x: 15 y:15
150: Agent's goal is x: 10 y:20
151: Agent moved to x: 15 y:16
151: Agent's goal is x: 10 y:20
152: Agent moved to x: 14 y:16
152: Agent's goal is x: 10 y:20
153: Agent moved to x: 14 y:17
153: Agent's goal is x: 10 y:20
154: Agent moved to x: 13 y:17
154: Agent's goal is x: 10 y:20
155: Agent moved to x: 13 y:18
155: Agent's goal is x: 10 y:20
156: Agent moved to x: 12 y:18
156: Agent's goal is x: 10 y:20
157: Agent moved to x: 12 y:19
157: Agent's goal is x: 10 y:20
158: Agent moved to x: 11 y:19
158: Agent's goal is x: 10 y:20
159: Agent moved to x: 11 y:20
159: Agent's goal is x: 10 y:20
160: Agent moved to x: 10 y:20
160: Agent's goal is x: 10 y:20
161: Agent synchronized with x: 10 y:20
161: Agent changed target neighbour to x: 0 y:30
161: Agent moved to x: 10 y:21
161: Agent's goal is x: 0 y:30
162: Agent moved to x: 9 y:21
162: Agent's goal is x: 0 y:30
163: Agent moved to x: 9 y:22
163: Agent's goal is x: 0 y:30
164: Agent moved to x: 8 y:22
164: Agent's goal is x: 0 y:30
165: Agent moved to x: 8 y:23
165: Agent's goal is x: 0 y:30
166: Agent moved to x: 7 y:23
166: Agent's goal is x: 0 y:30
167: Agent moved to x: 7 y:24
167: Agent's goal is x: 0 y:30
168: Agent moved to x: 6 y:24
168: Agent's goal is x: 0 y:30
169: Agent moved to x: 6 y:25
169: Agent's goal is x: 0 y:30
170: Agent moved to x: 5 y:25
170: Agent's goal is x: 0 y:30
171: Agent moved to x: 5 y:26
171: Agent's goal is x: 0 y:30
172: Agent moved to x: 4 y:26
172: Agent's goal is x: 0 y:30
173: Agent moved to x: 4 y:27
173: Agent's goal is x: 0 y:30
174: Agent moved to x: 3 y:27
174: Agent's goal is x: 0 y:30
175: Agent moved to x: 3 y:28
175: Agent's goal is x: 0 y:30
176: Agent moved to x: 2 y:28
176: Agent's goal is x: 0 y:30
177: Agent moved to x: 2 y:29
177: Agent's goal is x: 0 y:30
178: Agent moved to x: 1 y:29
178: Agent's goal is x: 0 y:30
179: Agent moved to x: 1 y:30
179: Agent's goal is x: 0 y:30
180: Agent moved to x: 0 y:30
180: Agent's goal is x: 0 y:30
181: Agent synchronized with x: 0 y:30
181: Agent changed target neighbour to x: 10 y:40
181: Agent moved to x: 0 y:31
181: Agent's goal is x: 10 y:40
182: Agent moved to x: 1 y:31
182: Agent's goal is x: 10 y:40
183: Agent moved to x: 1 y:32
183: Agent's goal is x: 10 y:40
184: Agent moved to x: 2 y:32
184: Agent's goal is x: 10 y:40
185: Agent moved to x: 2 y:33
185: Agent's goal is x: 10 y:40
186: Agent moved to x: 3 y:33
186: Agent's goal is x: 10 y:40
187: Agent moved to x: 3 y:34
187: Agent's goal is x: 10 y:40
188: Agent moved to x: 4 y:34
188: Agent's goal is x: 10 y:40
189: Agent moved to x: 4 y:35
189: Agent's goal is x: 10 y:40
190: Agent moved to x: 5 y:35
190: Agent's goal is x: 10 y:40
191: Agent moved to x: 5 y:36
191: Agent's goal is x: 10 y:40
192: Agent moved to x: 6 y:36
192: Agent's goal is x: 10 y:40
193: Agent moved to x: 6 y:37
193: Agent's goal is x: 10 y:40
